contigName	bin	contigLen	totalAvgDepth	L1.sorted.bam	L1.sorted.bam-var	L2.sorted.bam	L2.sorted.bam-var	L3.sorted.bam	L3.sorted.bam-var	P1.sorted.bam	P1.sorted.bam-var	P2.sorted.bam	P2.sorted.bam-var	P3.sorted.bam	P3.sorted.bam-var
NODE_1165_length_9841_cov_330.729_ID_23957048	2	9841	204.024	41.2584	53.0568	41.978	46.9278	44.0429	61.0276	25.0799	34.7181	25.6989	36.9411	25.9664	48.5387
NODE_116_length_48932_cov_296.146_ID_23909890	2	48932	212.817	44.36	58.8225	44.7678	50.9492	44.0317	51.6792	25.3995	27.2594	26.7024	30.0862	27.5552	32.8884
NODE_11719_length_3053_cov_29.498_ID_24111769	3	3053	4.42956	0	0	0	0	0	0	0.766793	0.681302	2.24457	2.35853	1.41819	1.21996
NODE_11731_length_3052_cov_42.5058_ID_24122166	3	3052	5.45348	0	0	0	0	0	0	1.09821	2.42641	3.05789	12.2204	1.29738	5.8853
NODE_11768_length_3048_cov_57.0675_ID_24165021	3	3048	9.49379	1.05728	2.04779	1.42478	2.1561	0.688751	1.02149	1.72533	3.62493	2.50414	5.19038	2.09351	3.2122
NODE_1176_length_9775_cov_293.432_ID_32480771	2	9775	211.559	44.0823	64.1572	44.4325	40.5767	43.9952	50.0456	25.414	27.2038	25.1403	21.3399	28.4944	37.9196
NODE_1179_length_9720_cov_30.5474_ID_24018366	3	9720	4.79655	0	0	0.0211076	0.0417761	0	0	0.476489	0.54983	2.44242	2.40742	1.85653	1.95025
NODE_117_length_48125_cov_29.8244_ID_23979453	3	48125	4.23439	0.0188223	0.0245617	0.0314122	0.0332514	0.0188431	0.0184987	0.529297	0.515218	2.06676	1.86598	1.56925	1.80515
NODE_1181_length_9717_cov_388.162_ID_32009040	2	9717	202.56	41.3877	58.7997	41.855	77.6741	41.5377	64.6372	23.8038	30.9254	26.6949	38.176	27.2805	28.2225
NODE_1182_length_9710_cov_269.966_ID_23991509	2	9710	203.399	41.5571	46.3748	43.1094	51.5766	40.4039	44.1962	24.6656	38.9269	26.5614	35.14	27.102	45.8526
NODE_1183_length_9709_cov_28.1823_ID_24042952	3	9709	3.77539	0	0	0.0315933	0.0305991	0	0	0.522963	0.399294	1.79276	2.30249	1.42808	1.13856
NODE_1184_length_9698_cov_27.107_ID_23954614	3	9698	4.25367	0.0316297	0.0306363	0.00795978	0.0317791	0	0	0.940092	1.12579	1.95287	2.16497	1.32111	1.27805
NODE_11868_length_3037_cov_25.167_ID_32551077	3	3037	3.72878	0	0	0	0	0	0	0.455837	0.323668	2.16349	1.88316	1.10946	1.26174
NODE_1186_length_9691_cov_281.496_ID_32550559	2	9691	201.992	41.7116	61.6923	42.7574	67.7068	41.3919	63.4801	25.2946	27.6549	25.4683	31.793	25.3679	34.296
NODE_118_length_47977_cov_29.1632_ID_32064231	3	47977	4.77603	0.0182115	0.0241906	0.037782	0.0410245	0.00947164	0.00938354	0.669559	0.635986	2.4382	2.53566	1.6028	1.88891
NODE_11918_length_3032_cov_339.465_ID_24504949	2	3032	202.499	40.0385	40.6223	41.6409	50.7921	42.5992	24.5318	22.7949	22.483	27.3976	37.0246	28.0274	35.1354
NODE_11926_length_3031_cov_55.8942_ID_24134222	3	3031	4.39708	0	0	0	0	0	0	0.618882	0.735275	2.24644	2.20522	1.53176	1.48726
NODE_11927_length_3030_cov_86.3018_ID_28729352	3	3030	56.6833	4.75417	4.55849	5.31736	9.24793	4.28958	6.38711	11.8559	49.4365	17.4156	93.9817	13.0507	72.6283
NODE_1199_length_9618_cov_26.8709_ID_23954979	3	9618	4.42638	0.0955851	0.10464	0.0317913	0.0307837	0	0	0.681876	0.633939	2.19233	2.45774	1.4248	1.61627
NODE_119_length_47428_cov_29.4667_ID_23929011	3	47428	4.67173	0.00319387	0.00318817	0.0379458	0.0365245	0.0318964	0.0364771	0.678519	0.722627	2.33561	2.42182	1.58456	1.61354
NODE_1200_length_9609_cov_367.643_ID_23974266	2	9609	204.801	40.7801	46.9052	43.7478	69.3032	43.3178	67.1219	23.5956	27.0187	27.336	44.2188	26.0234	36.0008
NODE_1201_length_9608_cov_32.8079_ID_24023220	3	9608	4.20829	0.0319306	0.0309096	0.0636498	0.0596029	0	0	0.56587	0.486372	2.13449	2.72408	1.41235	1.63581
NODE_1209_length_9576_cov_33.0565_ID_23967501	3	9576	4.723	0.032039	0.0626348	0	0	0.032039	0.0310237	0.687991	0.64034	2.44876	2.05127	1.52217	1.14585
NODE_1210_length_9574_cov_26.6304_ID_23994202	3	9574	3.85219	0	0	0.0271647	0.0535949	0	0	0.573005	0.479651	1.61895	1.72691	1.63306	2.11338
NODE_12124_length_3009_cov_29.1523_ID_24119001	3	3009	4.37566	0.315495	0.582016	0	0	0	0	0.458202	0.453386	2.18923	1.89803	1.41273	0.809996
NODE_12179_length_3002_cov_4.9301_ID_26540437	3	3002	3.34853	0.105891	0.0947109	0.270687	0.299203	0.222651	0.173133	0.63324	0.728297	1.25105	1.38346	0.865007	1.55772
NODE_1220_length_9522_cov_295.464_ID_23956973	2	9522	212.55	43.9262	49.7003	44.6786	49.4851	43.4624	52.0925	25.2993	19.3437	27.3615	25.5745	27.8221	30.1975
NODE_122_length_46590_cov_270.17_ID_23908192	2	46590	200.343	41.2855	51.0599	42.1883	59.8846	41.2816	54.0854	24.0168	31.313	25.7652	32.8299	25.8052	29.6152
NODE_1231_length_9443_cov_279.243_ID_23958095	2	9443	197.474	40.1348	40.4038	41.8297	52.1418	41.7993	42.1525	24.1493	27.2083	23.945	22.896	25.6163	24.4814
NODE_1239_length_9414_cov_414.701_ID_31935793	2	9414	209.055	41.9167	68.7029	44.525	60.4175	42.4576	89.0028	24.3993	35.753	27.6361	46.2	28.12	28.3215
NODE_123_length_46534_cov_288.973_ID_32515811	2	46534	200.915	41.5636	104.375	41.5678	82.1279	41.5432	95.8183	24.8286	43.7339	25.729	42.546	25.6828	45.9935
NODE_1243_length_9397_cov_24.0915_ID_35712816	1	9397	3.29945	0.55856	0.442354	0.617281	0.761064	0.313291	0.308391	0.618687	0.561079	1.10198	1.0759	0.0896507	0.0995817
NODE_12471_length_2973_cov_263.597_ID_24151165	2	2973	200.891	41.254	112.529	40.6082	120.898	39.7021	105.311	25.7308	46.5448	26.3206	57.2327	27.2749	53.2554
NODE_1247_length_9378_cov_305.351_ID_23969972	2	9378	217.579	44.0972	44.3632	44.5632	54.1928	46.987	61.4978	25.6437	26.2882	29.0209	26.5423	27.2673	35.6308
NODE_124_length_46437_cov_28.1122_ID_23918961	6	46437	4.74258	1.21514	1.35439	1.18629	1.19869	1.19746	1.38453	0.00788558	0.00976698	0.388165	0.421633	0.74764	0.800466
NODE_1255_length_9335_cov_289.564_ID_23960299	2	9335	195.615	39.7759	62.8826	39.9711	58.0522	40.088	69.6404	23.4793	26.7676	26.129	36.295	26.1714	27.381
NODE_12598_length_2959_cov_27.6694_ID_24122812	6	2959	4.94553	1.39836	1.66427	0.627981	0.498662	1.67248	1.03584	0	0	0.377714	0.646817	0.868993	0.991369
